#Version=1.26C
#Alarm No,E/D (0: Disabled / 1: Enabled),Alarm ID,Alarm Code,Alarm Text,Alarm Occurrence Event ID,Alarm Cancel Event ID,Comment
27,1,50027,0,26:No.11 OTP Over Temperature,12,13,26:第11段電熱OTP超溫
28,1,50028,0,27:No.12 OTP Over Temperature,12,13,27:第12段電熱OTP超溫
29,1,50029,0,28:Spare,12,13,28:備用
30,1,50030,0,29:Spare,12,13,29:備用
31,1,50031,0,30:Spare,12,13,30:備用
32,1,50032,0,31:Spare,12,13,31:備用
33,1,50033,0,32:No.1 Blower Overload,12,13,32:第1段風車馬達過載
34,1,50034,0,33:No.2 Blower Overload,12,13,33:第2段風車馬達過載
35,1,50035,0,34:No.3 Blower Overload,12,13,34:第3段風車馬達過載
36,0,50036,0,35:No.4 Blower Overload,12,13,35:第4段風車馬達過載
37,1,50037,0,36:No.5 Blower Overload,12,13,36:第5段風車馬達過載
38,1,50038,0,37:No.6 Blower Overload,12,13,37:第6段風車馬達過載
39,1,50039,0,38:No.7 Blower Overload,12,13,38:第7段風車馬達過載
40,1,50040,0,39:No.8 Blower Overload,12,13,39:第8段風車馬達過載
41,1,50041,0,40:No.9 Blower Overload,12,13,40:第9段風車馬達過載
42,1,50042,0,41:No.10 Blower Overload,12,13,41:第10段風車馬達過載
43,1,50043,0,42:No.11 Blower Overload,12,13,42:第11段風車馬達過載
44,1,50044,0,43:No.12 Blower Overload,12,13,43:第12段風車馬達過載
45,1,50045,0,44:Spare,12,13,44:備用
46,1,50046,0,45:Spare,12,13,45:備用
47,1,50047,0,46:Spare,12,13,46:備用
48,1,50048,0,47:Spare,12,13,47:備用
49,1,50049,0,48:No.1 Temperature Low Alarm,12,13,48:第1段電熱低溫警報
50,1,50050,0,49:No.2 Temperature Low Alarm,12,13,49:第2段電熱低溫警報
51,1,50051,0,50:No.3 Temperature Low Alarm,12,13,50:第3段電熱低溫警報
52,1,50052,0,51:No.4 Temperature Low Alarm,12,13,51:第4段電熱低溫警報
53,1,50053,0,52:No.5 Temperature Low Alarm,12,13,52:第5段電熱低溫警報
54,1,50054,0,53:No.6 Temperature Low Alarm,12,13,53:第6段電熱低溫警報
55,1,50055,0,54:No.7 Temperature Low Alarm,12,13,54:第7段電熱低溫警報
56,1,50056,0,55:No.8 Temperature Low Alarm,12,13,55:第8段電熱低溫警報
57,1,50057,0,56:No.9 Temperature Low Alarm,12,13,56:第9段電熱低溫警報
58,1,50058,0,57:No.10 Temperature Low Alarm,12,13,57:第10段電熱低溫警報
59,1,50059,0,58:No.11 Temperature Low Alarm,12,13,58:第11段電熱低溫警報
60,1,50060,0,59:No.12 Temperature Low Alarm,12,13,59:第12段電熱低溫警報
61,1,50061,0,60:Spare,12,13,60:備用
62,1,50062,0,61:Spare,12,13,61:備用
63,1,50063,0,62:Spare,12,13,62:備用
64,1,50064,0,63:Spare,12,13,63:備用
65,1,50065,0,64:Unloading Blower 1 Overload,12,13,64:出料1風車馬達過載
66,1,50066,0,65:Unloading Blower 2 Overload,12,13,65:出料2風車馬達過載
67,1,50067,0,66:Loading Blower Overload,12,13,66:進料風車馬達過載
68,1,50068,0,67:Spare,12,13,67:備用
69,1,50069,0,68:Unloading Conveyor Inverter Error,12,13,68:出料輸送馬達變頻器異常
70,1,50070,0,69:Unloading Move Inverter Error,12,13,69:下料位移馬達變頻器異常
71,1,50071,0,70:Tension  Oil Pressupe Pump Overload,12,13,70:張力油壓馬達過載
72,1,50072,0,71:Chain Feeding Oil Pump Overload,12,13,71:自動給油馬達過載
73,1,50073,0,72:Main Conveyor Inverter Error,12,13,72:主傳動馬達變頻器異常
74,1,50074,0,73:Unloading Move Forward Limit Error,12,13,73:下料位移前極限異常
75,1,50075,0,74:Unloading Move Backward Limit Error,12,13,74:下料位移後極限異常
76,1,50076,0,75:Chain Feeding Oil Level Error,12,13,75:自動給油液位異常
77,1,50077,0,76:Unloading Move Position Error,12,13,76:下料位移位置異常
78,1,50078,0,77:Spare,12,13,77:備用
79,1,50079,0,78:Loading Robot Servo Driver Error,12,13,78:進料ROBOT伺服馬達驅動器異常
80,1,50080,0,79:Unloading Rotate Arm Inverter Error,12,13,79:下料旋臂旋轉馬達變頻器異常
81,1,50081,0,80:Loading Robot Front Clip Open Error,12,13,80:進料ROBOT前夾爪放定點異常
82,1,50082,0,81:Loading Robot Front Clip Close Error,12,13,81:進料ROBOT前夾爪夾定點異常
83,1,50083,0,82:Loading Robot Middle Clip Open Error,12,13,82:進料ROBOT中夾爪放定點異常
84,1,50084,0,83:Loading Robot Middle Clip Close Error,12,13,83:進料ROBOT中夾爪夾定點異常
85,1,50085,0,84:Loading Robot Back Clip Open Error,12,13,84:進料ROBOT後夾爪放定點異常
86,1,50086,0,85:Loading Robot Back Clip Close Error,12,13,85:進料ROBOT後夾爪夾定點異常
87,1,50087,0,86:Open Fork Before Switching Robot Auto,12,13,86:切換ROBOT自動模式前請先打開ROBOT夾爪
88,1,50088,0,87:Spare,12,13,87:備用
89,1,50089,0,88:Unloading Arm Vertical Error,12,13,88:下料旋臂旋轉垂直定點異常
90,1,50090,0,89:Unloading Arm Horizontal Error,12,13,89:下料旋臂旋轉水平定點異常
91,1,50091,0,90:Unloading Arm Long Up Error,12,13,90:下料旋臂長程上定點異常
92,1,50092,0,91:Unloading Arm Long Down Error,12,13,91:下料旋臂長程下定點異常
93,1,50093,0,92:Unloading Arm Short Up Error,12,13,92:下料旋臂短程上定點異常
94,1,50094,0,93:Unloading Arm Short Down Error,12,13,93:下料旋臂短程下定點異常
95,1,50095,0,94:Spare,12,13,94:備用
96,1,50096,0,95:Spare,12,13,95:備用
97,1,50097,0,96:Loading Clip Open Position Error,12,13,96:進料夾爪開定點異常
98,1,50098,0,97:Loading Clip Close Position Error,12,13,97:進料夾爪夾定點異常
99,1,50099,0,98:Unloading Clip Open Position Error,12,13,98:出料夾爪開定點異常
100,1,50100,0,99:Unloading Clip Close Position Error,12,13,99:出料夾爪夾定點異常
101,1,50101,0,100:Main Conveyor Step Position Error,12,13,100:主傳動未定位異常
102,1,50102,0,101:Main Conveyor Step Overtime Error,12,13,101:主傳動步進逾時異常
103,1,50103,0,102:Main Conveyor No Running Overtime,12,13,102:主傳動逾時未運轉
104,1,50104,0,103:Main Conveyor PCB Jam Error,12,13,103:主傳動卡板偵測異常
105,1,50105,0,104:Main Conveyor Force Running Warning,12,13,104:主傳動強制運轉警示
106,1,50106,0,105:Chain Tension No Tight Error,12,13,105:鏈條張力未拉緊異常
107,1,50107,0,106:Spare,12,13,106:備用
108,1,50108,0,107:Spare,12,13,107:備用
109,1,50109,0,108:Spare,12,13,108:備用
110,1,50110,0,109:Spare,12,13,109:備用
111,1,50111,0,110:Spare,12,13,110:備用
112,1,50112,0,111:Spare,12,13,111:備用
113,1,50113,0,112:Unloading Error. Stop Board In.,12,13,112:出料連線--下游異常停止上游進板
114,1,50114,0,113:Loading Robot Clip Servo Overtime,12,13,113:進料ROBOT夾爪伺服運轉逾時異常
115,1,50115,0,114:Loading Robot CC-Link Error,12,13,114:進料ROBOT CC-LINK異常
116,1,50116,0,115:Upstream Printer Link Error,12,13,115:上游印刷機異常
117,1,50117,0,116:Loading RoboClip Servo Inside Limit,12,13,116:進料ROBOT夾爪伺服內極限異常
118,1,50118,0,117:Loading RoboClip Servo Outside Limit,12,13,117:進料ROBOT夾爪伺服外極限異常
119,1,50119,0,118:Loading Robot Have PCB Warning,12,13,118:進料ROBOT有板無法原點復歸
120,1,50120,0,119:Unloading Conveyor PCB Jam Error,12,13,119:出料輸送卡板異常
121,1,50121,0,120:Unloading PCB Drop Error,12,13,120:出料處掉板異常
122,1,50122,0,121:Unloading Conveyor Have PCB Warning,12,13,121:出料輸送有板無法原點復歸
123,1,50123,0,122:Unloading Move Manual Warning,12,13,122:下料位移手動警示
124,1,50124,0,123:Not Origin Error,12,13,123:未達原點異常
125,1,50125,0,124:Loading Safety Door Sensor Error,12,13,124:進料安全門偵測異常
126,1,50126,0,125:Unloading Safety Door Sensor Error,12,13,125:出料安全門偵測異常
127,1,50127,0,126:ROBOT On Teach Mode,12,13,126:ROBOT示教模式中
128,1,50128,0,127:Main Power Off Error,12,13,127:主電源斷電異常
129,1,50129,0,128:Emergency Stop Switch Error,12,13,128:緊急停止異常
130,1,50130,0,129:Power Phase Sequence Error,12,13,129:電源逆相偵測異常
131,1,50131,0,130:Unloading Air Pressure Low Error,12,13,130:出料空氣壓力異常
132,1,50132,0,131:Utility Exhaust Error,12,13,131:外部排風異常
133,1,50133,0,132:Unloading Interlock Signal Error,12,13,132:出料連線異常
134,1,50134,0,133:PLC Battery Low Error,12,13,133:PLC 電池不足異常
135,1,50135,0,134:Month Maintenance Notify,12,13,134:月保養通知
136,1,50136,0,135:Season Maintenance Notify,12,13,135:季保養通知
137,1,50137,0,136:Year Maintenance Notify,12,13,136:年保養通知
138,1,50138,0,137:ROBOT Battery Low Error,12,13,137:ROBOT電池不足
139,1,50139,0,138:ROBOTEmergency Stop Switch Error,12,13,138:ROBOT緊急停止
140,1,50140,0,139:ROBOT Error,12,13,139:ROBOT異常
141,1,50141,0,140:Loading Robot Front Left Sensor Err,12,13,140:進料ROBOT前左有板偵測異常
142,1,50142,0,141:Loading Robot Front Right Sensor Err,12,13,141:進料ROBOT前右有板偵測異常
143,1,50143,0,142:Loading Robot Mid Left Sensor Err,12,13,142:進料ROBOT中左有板偵測異常
144,1,50144,0,143:Loading Robot Mid Right Sensor Err,12,13,143:進料ROBOT中右有板偵測異常
145,1,50145,0,280:No.01 Branch Switch Trip,12,13,280:第1段加熱器SSR跳脫異常
146,1,50146,0,281:No.02 Branch Switch Trip,12,13,281:第2段加熱器SSR跳脫異常
147,1,50147,0,282:No.03 Branch Switch Trip,12,13,282:第3段加熱器SSR跳脫異常
148,1,50148,0,283:No.04 Branch Switch Trip,12,13,283:第4段加熱器SSR跳脫異常
149,1,50149,0,284:No.05 Branch Switch Trip,12,13,284:第5段加熱器SSR跳脫異常
150,1,50150,0,285:No.06 Branch Switch Trip,12,13,285:第6段加熱器SSR跳脫異常
151,1,50151,0,286:No.07 Branch Switch Trip,12,13,286:第7段加熱器SSR跳脫異常
152,1,50152,0,287:No.08 Branch Switch Trip,12,13,287:第8段加熱器SSR跳脫異常
153,1,50153,0,288:No.09 Branch Switch Trip,12,13,288:第9段加熱器SSR跳脫異常
154,1,50154,0,289:No.10 Branch Switch Trip,12,13,289:第10段加熱器SSR跳脫異常
155,1,50155,0,290:No.11 Branch Switch Trip,12,13,290:第11段加熱器SSR跳脫異常
156,1,50156,0,291:No.12 Branch Switch Trip,12,13,291:第12段加熱器SSR跳脫異常
157,1,50157,0,292:Spare,12,13,292:備用
158,1,50158,0,293:Spare,12,13,293:備用
159,1,50159,0,294:Spare,12,13,294:備用
160,1,50160,0,295:Spare,12,13,295:備用
161,1,50161,0,296:Spare,12,13,296:備用
162,1,50162,0,297:Spare,12,13,297:備用
163,1,50163,0,298:Spare,12,13,298:備用
164,1,50164,0,299:Spare,12,13,299:備用
165,1,50165,0,300:Spare,12,13,300:備用
166,1,50166,0,301:Buffer Has Panel Struck,12,13,301:輸送機輸送變頻器異常-ALM
167,1,50167,0,302:Center Calibra. Server Inside Limit,12,13,302:中心拍板伺服內極限
168,1,50168,0,303:Center Calibra. Server Outside Limit,12,13,303:中心拍板伺服外極限
169,1,50169,0,304:Center Calibration Server Error,12,13,304:中心拍板伺服異常
